"ident","name","municipality","iata_code","gps_code","iso_region","scheduled_service"
"GB-0389","Sutton Meadows Airfield","Ely, Cambridgeshire","NULL","NULL","GB-ENG","0"
"GB-0449","Swanborough Farm Airstrip","Lewes, East Sussex","NULL","NULL","GB-ENG","0"
"EGFH","Swansea Airport","Swansea","SWS","EGFH","GB-WLS","0"
"GB-0256","Swanton Morley Airfield","Dereham, Norfolk","NULL","NULL","GB-ENG","0"
"GB-1016","Swingate Airfield","Swingate","NULL","NULL","GB-ENG","0"
"GB-0662","Swinmore Farm Airstrip","Munsley (Herefordshire)","NULL","NULL","GB-ENG","0"
"EGBK","Sywell Aerodrome","Northampton","ORM","EGBK","GB-ENG","0"
"GB-0949","Tain Ultralight Airstrip","Tain, Ross","NULL","NULL","GB-SCT","0"
"GB-0518","Talgarth Glider Field","NULL","NULL","NULL","GB-WLS","0"
"GB-0226","Talybont Airstrip","NULL","NULL","NULL","GB-WLS","0"
"GB-0410","Tandragee Airstrip","Craigavon","NULL","NULL","GB-NIR","0"
"GB-1011","Tansterne Grange Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0440","Tarn Farm Airfield (Rossall Field)","Lancaster","NULL","NULL","GB-ENG","0"
"GB-0558","Tarsan Lane Microlights","Portadown","NULL","NULL","GB-NIR","0"
"EGBM","Tatenhill Airfield","Burton upon Trent","NULL","EGBM","GB-ENG","0"
"GB-0241","Taw Mill Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGNV","Teesside International Airport","Darlington, Durham","MME","EGNV","GB-ENG","1"
"GB-0524","Tempest Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-1075","Teuchats Farm Airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0671","Thankerton private airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0286","The Hall Farm Airstrip","Sutton-on-Sea","NULL","NULL","GB-ENG","0"
"GB-0877","The Moy Airstrip","Charlemont, Co Armagh","NULL","NULL","GB-NIR","0"
"GB-0951","The Plassey Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0343","The Royal London Hospital Helipad","London","NULL","NULL","GB-ENG","0"
"GB-0208","Thornborough Grounds Airstrip","Bourton","NULL","NULL","GB-ENG","0"
"GB-0423","Thornbury Castle Hotel Helipad","NULL","NULL","NULL","GB-ENG","0"
"GB-0482","Thornhill Airfield","Thornhill","NULL","NULL","GB-SCT","0"
"GB-0726","Thornton Watlass Airstrip UL","NULL","NULL","NULL","GB-ENG","0"
"GB-0919","Throstle Nest Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGHO","Thruxton Aerodrome","Andover","NULL","EGHO","GB-ENG","0"
"EGMT","Thurrock Airfield","NULL","NULL","EGMT","GB-ENG","0"
"GB-0420","Tibenham Airfield","Tibenham, Norfolk","NULL","NULL","GB-ENG","0"
"GB-0884","Tiffenden Airstrip","Ashford, Kent","NULL","NULL","GB-ENG","0"
"GB-0433","Tillingham Airstrip","Southminster, Essex","NULL","NULL","GB-ENG","0"
"GB-0946","Tilney-St-Lawrence Airstrip","Kings-Lynn","NULL","NULL","GB-ENG","0"
"EGCT","Tilstock Airfield","Whitchurch","NULL","EGCT","GB-ENG","0"
"GB-0956","Tinnel Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGPU","Tiree Airport","Balemartine","TRE","EGPU","GB-SCT","1"
"GB-0472","Titsey Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0908","Tockwith Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-1103","Tomlow Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0621","Tongham Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0261","Top Farm Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-1037","Top Farm Airstrip","Stagsden","NULL","NULL","GB-ENG","0"
"GB-0593","Topcroft Farm Airstrip","Bungay, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0613","Torbay Daddyhole Plain","Torquay","NULL","NULL","GB-ENG","0"
"GB-0633","Torquay Go-Kart circuit helipad","NULL","NULL","NULL","GB-ENG","0"
"GB-0222","Tower Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0905","Tracy Island Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0898","Trench Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGHT","Tresco Heliport","Tresco","NULL","EGHT","GB-ENG","0"
"GB-0620","Truleigh Manor Farm Airstrip","Henfield, West Sussex","NULL","NULL","GB-ENG","0"
"EGHY","Truro Airport","Truro","NULL","EGHY","GB-ENG","0"
"GB-1039","Tullochgribban-High Airstrip","Dulnain Bridge","NULL","NULL","GB-SCT","0"
"GB-0605","Tunbridge Wells Hospital Helipad","NULL","NULL","NULL","GB-ENG","0"
"EGBT","Turweston Airport","Turweston","NULL","EGBT","GB-ENG","0"
"GB-0210","Twycross (Gopsall House) Airstrip","Nuneaton, Warwickshire","NULL","NULL","GB-ENG","0"
"EGPW","Unst Airport","Shetland Islands","UNT","EGPW","GB-SCT","0"
"EGDJ","Upavon Aerodrome","Upavon","UPV","EGDJ","GB-ENG","0"
"GB-0858","Upfield Farm Airstrip","Whitson","NULL","NULL","GB-WLS","0"
"GB-0603","Upottery Air Base","NULL","NULL","NULL","GB-ENG","0"
"GB-0266","Upper Harford Airstrip","Upper Harford","NULL","NULL","GB-ENG","0"
"GB-0294","Upwood Glider Field","Upwood","NULL","NULL","GB-ENG","0"
"GB-0771","Valley Farm Airstrip","Dunston Heath","NULL","NULL","GB-ENG","0"
"GB-0833","Valley Farm Airstrip","Winwick","NULL","NULL","GB-ENG","0"
"GB-0342","Vanguard Heliport","London","NULL","NULL","GB-ENG","0"
"GB-0794","Ventfield Farm Airstrip","Horton-cum-Studley","NULL","NULL","GB-ENG","0"
"GB-0374","Viewfield Airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0481","Viners Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0185","Wadswick Farm Airstrip","Wadswick","NULL","NULL","GB-ENG","0"
"GB-0597","Waits Farm Airstrip","Sudbury, Suffolk","NULL","NULL","GB-ENG","0"
"GB-1052","Walk Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0381","Walkeridge Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0207","Wallis International","NULL","NULL","NULL","GB-ENG","0"
"GB-0057","Walton Wood Airfield","Wrangbrook","NULL","NULL","GB-ENG","0"
"GB-0591","Warren Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0736","Warrington Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGNO","Warton Aerodrome","Warton","WRT","EGNO","GB-ENG","0"
"GB-0209","Watchford Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0896","Wateringhill Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0598","Waterloo Hotel Helistrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0900","Wathstones Farm Airstrip","Newby Wiske","NULL","NULL","GB-ENG","0"
"GB-0470","Watnall Airfield","NULL","NULL","NULL","GB-ENG","0"
"EGUW","Wattisham Airfield","Ipswich, Suffolk","NULL","EGUW","GB-ENG","0"
"GB-0792","Welcross Grange Airstrip","Horsham, West Sussex","NULL","NULL","GB-ENG","0"
"EGBW","Wellesbourne Airfield","Stratford-on-Avon","NULL","EGBW","GB-ENG","0"
"EGCW","Welshpool Airport","Welshpool","NULL","EGCW","GB-WLS","0"
"GB-0592","Wentworth Private Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0735","Wesham House Farm Heliport","NULL","NULL","NULL","GB-ENG","0"
"GB-0948","West Bergholt Airstrip","Colchester, Essex","NULL","NULL","GB-ENG","0"
"GB-0952","West Newland Farm Airstrip","Southminster, Essex","NULL","NULL","GB-ENG","0"
"GB-0827","West Tisted Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-0843","Westacott Farm Airstrip","Coldridge","NULL","NULL","GB-ENG","0"
"GB-1030","West-Burton Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0961","Western Isles Hospital Helipad","Stornoway","NULL","NULL","GB-SCT","0"
"GB-0523","Westfield Farm Airstrip","Hailsham, East Sussex","NULL","NULL","GB-ENG","0"
"GB-0515","Weston-super-Mare Heliport","NULL","NULL","NULL","GB-ENG","0"
"GB-0203","Westonzoyland Microlight","Bridgewater","NULL","NULL","GB-ENG","0"
"GB-0268","Westover Farm Airstrip","Sheepwash","NULL","NULL","GB-ENG","0"
"EGEW","Westray Airport","Westray","WRY","EGEW","GB-SCT","1"
"EGVT","Wethersfield Air Base","Braintree, Essex","NULL","NULL","GB-ENG","0"
"GB-0184","Weybourne Airstrip","Holt, Norfolk","NULL","NULL","GB-ENG","0"
"GB-0702","Whaley Farm Airstrip","New York","NULL","NULL","GB-ENG","0"
"EGEH","Whalsay Airstrip","Whalsay, Shetlands","WHS","EGEH","GB-SCT","0"
"GB-0246","Wharf Farm Airstrip","Nuneaton, Warwickshire","NULL","NULL","GB-ENG","0"
"GB-0892","Whilton Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0773","White Fen Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0037","White Ox Mead Airstrip","Peasdown St John","NULL","NULL","GB-ENG","0"
"EGLM","White Waltham Airfield","Maidenhead, Berkshire","NULL","EGLM","GB-ENG","0"
"GB-0829","Whitehall Farm Airstrip","Braintree, Essex","NULL","NULL","GB-ENG","0"
"GB-0212","Whitehill Farm Airstrip","Meldreth","NULL","NULL","GB-ENG","0"
"GB-0880","Whitehouse Farm Helicopter Base","Purtington-Chard (Somerset)","NULL","NULL","GB-ENG","0"
"GB-0239","Whiterashes Farm Airstrip","Aberdeen","NULL","NULL","GB-SCT","0"
"GB-0520","Whittles Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGPC","Wick Airport","Wick","WIC","EGPC","GB-SCT","1"
"EGNW","Wickenby Aerodrome","Lincoln","NULL","EGNW","GB-ENG","0"
"GB-0890","Wickhambrook Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0153","Wigtown Airfield","Machars","NULL","NULL","GB-SCT","0"
"GB-0238","Wild Geese Skydive Centre","NULL","NULL","NULL","GB-NIR","0"
"GB-0819","Wildings Farm Airstrip","Steeple Bumpstead","NULL","NULL","GB-ENG","0"
"GB-0453","Willingale Airstrip","Ongar, Essex","NULL","NULL","GB-ENG","0"
"GB-0920","Willington Court Airstrip","Sandhurst (Glos)","NULL","NULL","GB-ENG","0"
"GB-0183","Willow Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0856","Wiltshire Air Ambulance","NULL","NULL","NULL","GB-ENG","0"
"GB-0582","Windrush Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0499","Windsor Farm Airstrip","Hagworthingham","NULL","NULL","GB-ENG","0"
"GB-0050","Wing Farm Airfield","Longbridge Deveril","NULL","NULL","GB-ENG","0"
"GB-0206","Wingland Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-0581","Winkwood Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0795","Wisbridge Farm Airstrip","Royston, Hertfordshire","NULL","NULL","GB-ENG","0"
"GB-0418","Wishangar Farm private Airstrip","Frensham","NULL","NULL","GB-ENG","0"
"GB-0570","Wisley Airfield","Woking, Surrey","NULL","NULL","GB-ENG","0"
"GB-0450","Witherenden Airstrip","Northiam, East Sussex","NULL","NULL","GB-ENG","0"
"GB-0989","Witherenden Airstrip","Burwash, East Sussex","NULL","NULL","GB-ENG","0"
"GB-1129","Woburn Park Airfield","Milton Keynes, Buckinghamshire","NULL","NULL","GB-ENG","0"
"GB-0498","Wold Lodge Airstrip","Finedon","NULL","NULL","GB-ENG","0"
"EGBO","Wolverhampton Halfpenny Green Airport","Wolverhampton","NULL","EGBO","GB-ENG","0"
"GB-0897","Wolves Hall Airstrip","Clacton-on-Sea, Essex","NULL","NULL","GB-ENG","0"
"GB-0179","Wombleton","NULL","NULL","NULL","GB-ENG","0"
"GB-0522","Wood Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGVG","Woodbridge Airfield","Woodbridge, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0521","Woodditton Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-1053","Woodhouse Farm Airstrip","Earsby","NULL","NULL","GB-ENG","0"
"GB-0446","Woodlow Farm Private Airstrip","Bosbury","NULL","NULL","GB-ENG","0"
"GB-0953","Woods Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0321","Woodview Airfield","Armagh","NULL","NULL","GB-NIR","0"
"GB-0536","Woodwalton Private Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0990","Woolaston Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0460","Woonton Airstrip","Woonton","NULL","NULL","GB-ENG","0"
"GB-0589","Worcester-Royal-Hospital Heliport","Worcester","NULL","NULL","GB-ENG","0"
"GB-0530","Wormingford Glider Field","Colchester, Essex","NULL","NULL","GB-ENG","0"
"GB-0606","Wortham Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGDT","Wroughton Airfield","Wroughton","NULL","NULL","GB-ENG","0"
"EGTB","Wycombe Air Park","High Wycombe","HYC","EGTB","GB-ENG","0"
"GB-0344","Wythenshawe Hospital Helipad","Manchester","NULL","NULL","GB-ENG","0"
"GB-0716","YAA Nostell Helicopter Port","Foulby, Nostell, Yorkshire","NULL","NULL","GB-ENG","0"
"GB-0585","Yafford House Private Airstrip","Isle of Wight","NULL","NULL","GB-ENG","0"
"GB-0054","Yatesbury Airfield","Malborough","NULL","NULL","GB-ENG","0"
"GB-0407","Yearby Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGHG","Yeovil/Westland Aerodrome","Yeovil","NULL","EGHG","GB-ENG","0"
"GB-1049","York Racecourse Balloonport","York","NULL","NULL","GB-ENG","0"
"GB-0376","Yorkshire Gliding Club","NULL","NULL","NULL","GB-ENG","0"
"GB-0584","Yoxford Airstrip","Saxmundham, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0617","Ysbyty Glan Clywd Hospital Heliport","NULL","NULL","NULL","GB-WLS","0"
"GB-0396","Ysbyty Gwynedd Hospital Heliport","NULL","NULL","NULL","GB-WLS","0"
