"ident","name","municipality","iata_code","gps_code","iso_region","scheduled_service"
"GB-0650","RAF Plain Heath Air Base","Holmsey","NULL","NULL","GB-ENG","0"
"GB-0640","RAF Portreath","Portreath","NULL","NULL","GB-ENG","0"
"GB-0571","RAF Poulton","NULL","NULL","NULL","GB-ENG","0"
"GB-1120","RAF Sawbridgeworth","Sawbridgeworth, Hertfordshire","NULL","NULL","GB-ENG","0"
"EGXP","RAF Scampton","Scampton","SQZ","EGXP","GB-ENG","0"
"EGUP","RAF Sculthorpe","Fakenham, Norfolk","NULL","NULL","GB-ENG","0"
"EGOS","RAF Shawbury","Shawbury","NULL","EGOS","GB-ENG","0"
"GB-1107","RAF Shepherds Grove","Bury Saint Edmunds, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0573","RAF Skaebrae Air Base","Orkney","NULL","NULL","GB-SCT","0"
"GB-1108","RAF Snetterton Health","Norwich, Norfolk","NULL","NULL","GB-ENG","0"
"EGOM","RAF Spadeadam","Spadeadam","NULL","EGOM","GB-ENG","0"
"GB-0307","RAF Spitalgate Air Base","Grantham","NULL","NULL","GB-ENG","0"
"GB-0641","RAF St Eval","St Eval","NULL","NULL","GB-ENG","0"
"GB-0020","RAF St. David's","NULL","NULL","NULL","GB-WLS","0"
"GB-0567","RAF Stanton Harcourt Air Base","NULL","NULL","NULL","GB-ENG","0"
"GB-0458","RAF Stoney Cross Air Base","NULL","NULL","NULL","GB-ENG","0"
"GB-0610","RAF Stradishall","Newmarket","NULL","NULL","GB-ENG","0"
"GB-1113","RAF Sudbury","Sudbury, Suffolk","NULL","NULL","GB-ENG","0"
"EGXS","RAF Swinderby","Swinderby","NULL","NULL","GB-ENG","0"
"EGXY","RAF Syerston","Newark","NULL","EGXY","GB-ENG","0"
"GB-1021","RAF Tain","Tain, Ross","NULL","NULL","GB-SCT","0"
"GB-0136","RAF Talbenny","Pembrokeshire","NULL","NULL","GB-WLS","0"
"EGUT","RAF Tangmere","Chichester, West Sussex","NULL","NULL","GB-ENG","0"
"GB-0608","RAF Templeton Air Base","NULL","NULL","NULL","GB-WLS","0"
"EGOE","RAF Ternhill","Ternhill","NULL","EGOE","GB-ENG","0"
"GB-0607","RAF Tholthorpe Air Base","NULL","NULL","NULL","GB-ENG","0"
"EGCP","RAF Thorne","Thorne","NULL","NULL","GB-ENG","0"
"EGUV","RAF Thorney Island","Emsworth, Hampshire","NULL","NULL","GB-ENG","0"
"GB-0612","RAF Thorpe Abbotts","Diss, Norfolk","NULL","NULL","GB-ENG","0"
"GB-0595","RAF Throckmorton Air Base","NULL","NULL","NULL","GB-ENG","0"
"EGXZ","RAF Topcliffe","Topcliffe","NULL","EGXZ","GB-ENG","0"
"GB-0604","RAF Tuddenham","Bury Saint Edmunds, Suffolk","NULL","NULL","GB-ENG","0"
"EGUA","RAF Upper Heyford","Upper Heyford","NULL","NULL","GB-ENG","0"
"EGXW","RAF Waddington","Waddington","WTN","EGXW","GB-ENG","0"
"GB-0588","RAF Warboys Air Base","Huntingdon","NULL","NULL","GB-ENG","0"
"GB-1104","RAF Watchfield","Watchfield","NULL","NULL","GB-ENG","0"
"EGUK","RAF Waterbeach","Cambridge, Cambridgeshire","NULL","NULL","GB-ENG","0"
"GB-0162","RAF Wath Head airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-0563","RAF Watton","Thetford, Norfolk","NULL","NULL","GB-ENG","0"
"EGOY","RAF West Freugh","Wigtownshire","NULL","NULL","GB-SCT","0"
"EGKM","RAF West Malling","West Malling","NULL","NULL","GB-ENG","0"
"GB-1095","RAF Westcott","Westcott","NULL","NULL","GB-ENG","0"
"GB-0414","RAF Weston-on-the-Green","NULL","NULL","NULL","GB-ENG","0"
"GB-0299","RAF Winfield","Winfield","NULL","NULL","GB-SCT","0"
"GB-0657","RAF Wing","Wing","NULL","NULL","GB-ENG","0"
"GB-0643","RAF Winkleigh","Winkleigh","NULL","NULL","GB-ENG","0"
"EGXT","RAF Wittering","Wittering","NULL","EGXT","GB-ENG","0"
"GB-1090","RAF Woodchurch","Ashford, Kent","NULL","NULL","GB-ENG","0"
"EGOW","RAF Woodvale","Southport","NULL","EGOW","GB-ENG","0"
"GB-0590","RAF Woolfox Lodge Air Base","NULL","NULL","NULL","GB-ENG","0"
"GB-1111","RAF Wratting","Haverhill, Suffolk","NULL","NULL","GB-ENG","0"
"EGCE","RAF Wrexham","Wrexham","NULL","NULL","GB-WLS","0"
"EGUY","RAF Wyton","St. Ives","QUY","EGUY","GB-ENG","0"
"GB-0649","Ramsdean private airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-1079","Rands Farm Airstrip","Ipswich, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0799","Rankins Farm Airfield","Maidstone","NULL","NULL","GB-ENG","0"
"GB-0639","Ranksborough Farm Airstrip","Langham","NULL","NULL","GB-ENG","0"
"GB-0295","Ranston Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0478","Rathfriland Airstrip","Rathfriland","NULL","NULL","GB-NIR","0"
"GB-0492","Rattlesden Airfield","Bury Saint Edmunds, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0907","Ravensworth Private Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0553","Raydon Wings Glider Field","Ipswich, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0219","Rayne Hall Farm Airstrip","Braintree, Essex","NULL","NULL","GB-ENG","0"
"GB-0544","Rectory Farm Airstrip","Averham","NULL","NULL","GB-ENG","0"
"GB-0913","Rectory Farm Airstrip","Abbotsley","NULL","NULL","GB-ENG","0"
"GB-0495","Red House Farm Airstrip","Preston Capes","NULL","NULL","GB-ENG","0"
"EGKR","Redhill Aerodrome","Redhill, Surrey","NULL","EGKR","GB-ENG","0"
"GB-0084","Redlands airfield","Swindon, Wiltshire, UK","NULL","NULL","GB-ENG","0"
"GB-0228","Redmoor Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0489","Redrock Airstrip","Redrock","NULL","NULL","GB-NIR","0"
"GB-0533","Rendcomb Airfield","Rendcomb","NULL","NULL","GB-ENG","0"
"EGNE","Retford Gamston Airport","Gamston","NULL","EGNE","GB-ENG","0"
"GB-0797","Retreat Farm Airstrip","Maldon, Essex","NULL","NULL","GB-ENG","0"
"GB-0091","RFC All Hallows / RAF All Hallows","Rochester, Kent","NULL","NULL","GB-ENG","0"
"GB-0097","RFC Anwick / RAF Anwick","Lincolnshire","NULL","NULL","GB-ENG","0"
"GB-0088","RFCS Southfields / RAF Acklington","Northumberland","NULL","NULL","GB-ENG","0"
"GB-0479","Rhedyn Coch Farm Airstrip","NULL","NULL","NULL","GB-WLS","0"
"GB-0912","Rhigos Airstrip","NULL","NULL","NULL","GB-WLS","0"
"GB-0893","Rhoshirwaun","NULL","NULL","NULL","GB-WLS","0"
"GB-0538","Ridgewell Glider Field","Sudbury, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0701","Riding Bank Farm Airstrip","Melbourne, Derby","NULL","NULL","GB-ENG","0"
"GB-0614","Ringmer Glider Field","Lewes, East Sussex","NULL","NULL","GB-ENG","0"
"GB-0983","Ringstead Private Airstrip","Ringstead","NULL","NULL","GB-ENG","0"
"GB-0957","Ripple Airstrip","Ripple, Kent","NULL","NULL","GB-ENG","0"
"GB-0569","Rivar Hill Glider Field","NULL","NULL","NULL","GB-ENG","0"
"GB-0080","RNAS Arbroath / HMS Condor / RM Condor Air Base","Arbroath","NULL","NULL","GB-SCT","0"
"GB-1048","RNAS Caldale","Orkney","NULL","NULL","GB-SCT","0"
"US-0219","RNAS Cattewater/RAF Cattewater/RAF Mount Batten","Devon","NULL","NULL","GB-ENG","0"
"GB-0882","RNAS Crail","Anstruther, Fife","NULL","NULL","GB-SCT","0"
"EGDR","RNAS Culdrose","Helston","NULL","EGDR","GB-ENG","0"
"GB-0579","RNAS Dale Air Base","Dale","NULL","NULL","GB-WLS","0"
"EG73","RNAS Fearn Air Base","Tain, Ross","NULL","NULL","GB-SCT","0"
"GB-0511","RNAS Ford","Arundel, West Sussex","NULL","NULL","GB-ENG","0"
"GB-0574","RNAS HMS Tern Air Base","Twatt","NULL","NULL","GB-SCT","0"
"bl","RNAS Pembroke/RNAS Milton/RAF Carew Cheriton","Pembrokeshire","NULL","NULL","GB-ENG","0"
"EGDP","RNAS Portland Heliport","Portland","NULL","EGDP","GB-ENG","0"
"EGDO","RNAS Predannack Air Base","Predannack Wollas","NULL","EGDO","GB-ENG","0"
"GB-0516","RNAS St. Merryn","NULL","NULL","NULL","GB-ENG","0"
"GB-0312","RNAS Stretton","Stretton","NULL","NULL","GB-ENG","0"
"EGDY","RNAS Yeovilton","Yeovil","YEO","EGDY","GB-ENG","0"
"ABL","RNAS/RAF Calshot","Hampshire","NULL","NULL","GB-ENG","0"
"GB-0083","RNAS/RAF Donibristle / HMS Merlin","NULL","NULL","NULL","GB-SCT","0"
"EGCN","Robin Hood Doncaster Sheffield Airport","Doncaster","NULL","NULL","GB-ENG","1"
"GB-0056","Roche Barton Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGTO","Rochester Airport","Rochester, Kent","RCS","EGTO","GB-ENG","0"
"GB-0514","Roddige Airfield","Lichfield","NULL","NULL","GB-ENG","0"
"GB-0927","Romney Street Airstrip","Sevenoaks","NULL","NULL","GB-ENG","0"
"GB-0505","Rookery Farm UL","Doynton","NULL","NULL","GB-ENG","0"
"GB-0267","Rosemarket Airstrip","NULL","NULL","NULL","GB-WLS","0"
"GB-0471","Roserrow Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0543","Rothwell Lodge Farm Airstrip","Rothwell","NULL","NULL","GB-ENG","0"
"GB-0496","Rotorspan","Droitwich","NULL","NULL","GB-ENG","0"
"GB-0146","Rougham Airfield","Bury Saint Edmunds, Suffolk","NULL","NULL","GB-ENG","0"
"GB-0802","Roughay Farm Airfield","Lower Upham","NULL","NULL","GB-ENG","0"
"GB-0349","Royal Bournemouth Hospital Helipad","Bournemouth","NULL","NULL","GB-ENG","0"
"GB-0631","Royal Glamorgan Hospital Heliport","NULL","NULL","NULL","GB-WLS","0"
"GB-1073","Royal Infirmary Edinburgh","NULL","NULL","NULL","GB-SCT","0"
"GB-1086","Royal Lancaster Infirmary Heliport","Lancaster","NULL","NULL","GB-ENG","0"
"EGDC","Royal Marines Base Chivenor Airport","Chivenor","NULL","EGDC","GB-ENG","0"
"GB-0161","Royal Naval Air Station Anthorn","NULL","NULL","NULL","GB-ENG","0"
"GB-0345","Royal Stoke University Hospital Helipad","Stoke-on-Trent","NULL","NULL","GB-ENG","0"
"GB-0248","Rufforth East","NULL","NULL","NULL","GB-ENG","0"
"EG64","Rufforth West","York (Rufforth)","NULL","NULL","GB-ENG","0"
"GB-0311","Rush Green Airstrip","Hitchin, Hertfordshire","NULL","NULL","GB-ENG","0"
"GB-0758","Rushett Farm","Chessington (Surrey)","NULL","NULL","GB-ENG","0"
"GB-0891","Rydinghurst Farm Airstrip","Guildford, Surrey","NULL","NULL","GB-ENG","0"
"GB-0551","Sackville Farm Airstrip","RISELEY Bedfordshire","NULL","NULL","GB-ENG","0"
"GB-0398","Saint Michaels Airfield","Preston, Lancashire","NULL","NULL","GB-ENG","0"
"GB-0557","Saltby Glider Field","Saltby","NULL","NULL","GB-ENG","0"
"GB-0504","Salterford Farm Airfield","Calverton","NULL","NULL","GB-ENG","0"
"EGES","Sanday Airport","Sanday","NDY","EGES","GB-SCT","1"
"GB-0359","Sandford Hall Airstrip","Knocking","NULL","NULL","GB-ENG","0"
"GB-0221","Sandhill Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0987","Sandscale Park Helipad","Barrow-In-Furness","NULL","NULL","GB-ENG","0"
"EGCF","Sandtoft Airfield","Belton","NULL","EGCF","GB-ENG","0"
"GB-1085","Scale Hall Airfield","Lancaster","NULL","NULL","GB-ENG","0"
"EGPM","Scatsta Airport","Shetland Islands","NULL","NULL","GB-SCT","0"
"ZZ-0001","Sealand Helipad","Sealand","NULL","NULL","GB-ENG","0"
"GB-0955","Sears-Crossing Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGSJ","Seething Airfield","Mundham, Norfolk","NULL","EGSJ","GB-ENG","0"
"GB-0382","Seighford Glider Field","NULL","NULL","NULL","GB-ENG","0"
"GB-0725","Selby House Farm Airstrip","Stanton, Northumbria","NULL","NULL","GB-ENG","0"
"GB-1033","Settrington Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0250","Shacklewell Lodge Farm Airstrip","Empingham","NULL","NULL","GB-ENG","0"
"GB-0930","Shear Down Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-1060","Sheardale airstrip","NULL","NULL","NULL","GB-SCT","0"
"EGSY","Sheffield City Heliport","Sheffield","NULL","NULL","GB-ENG","0"
"GB-0638","Shelsley-Beauchamp Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0746","Shempston Farm Airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0416","Shenington Gliding Club","Shenington","NULL","NULL","GB-ENG","0"
"GB-0023","Shenstone Hall Farm Airstrip","Shenstone","NULL","NULL","GB-ENG","0"
"EGCJ","Sherburn-In-Elmet Airfield","Selby","NULL","EGCJ","GB-ENG","0"
"GB-0372","Shifnal Airfield","Shifnal","NULL","NULL","GB-ENG","0"
"EGSA","Shipdham Airfield","Thetford, Norfolk","NULL","EGSA","GB-ENG","0"
"EGBS","Shobdon Aerodrome","Shobdon","NULL","EGBS","GB-ENG","0"
"GB-0787","Shrove Furlong Farm Airstrip","Kingsey","NULL","NULL","GB-ENG","0"
"GB-1082","Sibsey Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0902","Siege Cross Farm Airstrip","Thatcham","NULL","NULL","GB-ENG","0"
"GB-0154","Silloth Airfiefd","Silloth","NULL","NULL","GB-ENG","0"
"EGBV","Silverstone Heliport","Buckingham","NULL","EGBV","GB-ENG","0"
"GB-0199","Sittles Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGNI","Skegness (Ingoldmells) Aerodrome","Skegness","NULL","EGNI","GB-ENG","0"
"GB-0340","Skelling Farm Glider Field","Skirwith, Penrith","NULL","NULL","GB-ENG","0"
"GB-0409","Skydive Strathallan","NULL","NULL","NULL","GB-SCT","0"
"GB-0417","Slay Barn private airstrip","Cuddesdon, Oxford","NULL","NULL","GB-ENG","0"
"EGCV","Sleap Airport","Shrewsbury","NULL","EGCV","GB-ENG","0"
"GB-0879","Slemish Airfield","Buckna (Co Antrim)","NULL","NULL","GB-NIR","0"
"GB-0448","Slieve Croob Airfield","NULL","NULL","NULL","GB-NIR","0"
"EGHF","Solent Airport","Lee-on-Solent","NULL","EGHF","GB-ENG","0"
"GB-1078","South Barnbeth Farm Airstrip","NULL","NULL","NULL","GB-SCT","0"
